fighter_name,height,weight_lbs,reach_inches,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,age
Jeremy Jackson,70.0,170.0,72.0,0.71,27,2.03,25,1.52,40,58,0.0,43.964407939767284
Kevin Jackson,70.0,199.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,61.779603011635864
Yves Jabouin,67.0,135.0,68.0,3.06,41,2.93,62,1.94,60,82,0.1,47.27173169062286
Quinton Jackson,73.0,205.0,73.0,3.25,54,2.51,55,1.52,56,73,0.1,48.2135523613963
Kenyon Jackson,72.0,185.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Damon Jackson,71.0,155.0,71.0,2.96,42,3.47,49,2.3,32,37,1.2,38.078028747433265
Eugene Jackson,68.0,185.0,72.0,2.19,33,3.44,32,1.91,71,16,2.3,59.95345653661875
Mike Jackson,74.0,170.0,74.0,4.49,57,3.73,62,0.71,33,88,0.0,41.45927446954141
Jason Jackson,73.0,170.0,78.0,2.24,48,1.31,56,0.0,0,0,0.0,35.85215605749487
Richard Jacobi,76.0,260.0,75.0,0.88,44,3.94,51,3.28,100,100,0.0,32.93908281998631
Eric Jacob,70.0,155.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Justin James,70.0,155.0,72.0,1.34,36,2.68,50,0.0,0,50,1.6,49.82614647501711
Montel Jackson,70.0,135.0,75.0,3.02,52,1.4,60,2.71,63,67,0.3,34.36824093086927
Dave Jansen,69.0,155.0,73.0,2.94,33,3.67,58,2.79,28,38,0.9,47.044490075290895
Nate James,72.0,185.0,72.0,1.33,42,2.67,28,0.0,0,44,0.0,48.27378507871321
Gigo Jara,69.0,145.0,72.0,2.26,57,2.71,51,0.0,0,66,0.0,39.59753593429158
Jaime Jara,73.0,205.0,72.0,2.2,60,1.47,56,0.0,0,25,0.0,57.09514031485284
Brock Jardine,71.0,170.0,72.0,1.06,30,3.34,56,0.0,0,14,0.8,41.158110882956876
Keith Jardine,74.0,185.0,76.0,3.25,36,2.98,59,1.18,45,62,0.7,50.85010266940452
Josh Jarvis,70.0,155.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
YunSeong Jang,72.0,170.0,72.0,2.53,41,4.13,51,2.0,50,90,0.0,23.838466803559207
Rony Jason,67.0,145.0,73.0,2.04,44,3.14,53,0.59,30,36,0.8,42.46132785763176
Dustin Jacoby,75.0,205.0,76.0,5.31,47,4.02,57,0.3,25,62,0.0,38.42299794661191
Virna Jandiroba,63.0,115.0,64.0,2.27,41,2.86,55,3.13,39,72,1.4,38.26967830253251
Louis Jauregui,67.0,170.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Jasmine Jasudavicius,67.0,125.0,68.0,3.47,44,3.46,51,2.63,46,75,0.5,37.516769336071185
Ryan Janes,75.0,185.0,76.0,7.69,48,5.53,59,0.35,100,58,0.0,45.040383299110196
Josh Janousek,71.0,185.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,45.946611909650926
Aaron Jeffery,74.0,185.0,73.0,3.1,45,4.46,34,0.0,0,50,0.0,33.80971937029432
Justin Jaynes,67.0,145.0,68.0,3.34,44,5.33,62,0.75,40,20,1.1,37.073237508555785
Milos Janicic,71.0,155.0,71.0,4.44,31,3.7,54,0.0,0,0,0.0,29.34428473648186
Yazmin Jauregui,63.0,115.0,64.0,6.64,39,5.25,54,0.0,0,100,0.0,27.520876112251884
Bubba Jenkins,67.0,145.0,72.0,2.41,37,1.58,67,7.23,68,100,0.0,38.5845311430527
Adrienna Jenkins,68.0,145.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,45.125256673511295
Trent Jenkins,74.0,185.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Brandon Jenkins,72.0,155.0,71.0,2.93,41,8.05,33,0.0,0,27,0.0,34.93497604380561
Joanna Jedrzejczyk,66.0,115.0,65.0,6.28,48,3.25,62,0.27,62,80,0.1,39.05270362765229
Kyle Jensen,69.0,170.0,72.0,0.0,0,0.92,60,6.92,100,0,6.9,47.13210130047912
Steve Jennum,70.0,215.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,62.954140999315534
Jack Jenkins,67.0,145.0,68.0,4.48,61,2.95,59,1.98,60,71,0.2,32.84052019164955
Ryan Jensen,73.0,185.0,76.0,2.84,39,2.99,59,1.55,50,31,1.9,48.96098562628337
Art Jimmerson,73.0,196.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,63.09103353867214
Maciej Jewtuszko,72.0,155.0,72.0,2.29,45,1.39,66,0.0,0,42,0.9,45.596167008898014
Ramiro Jimenez,69.0,145.0,73.0,14.22,65,2.43,82,5.2,100,100,0.0,27.638603696098563
Chan-Mi Jeon,65.0,115.0,72.0,6.23,31,7.77,55,0.0,0,0,0.0,29.023956194387406
Ronald Jhun,71.0,170.0,72.0,1.45,57,3.01,50,1.81,100,100,0.0,55.95893223819302
Baergeng Jieleyisi,69.0,145.0,71.0,1.61,35,2.62,52,1.73,38,78,0.2,30.784394250513348
Jiniushiyue,68.0,125.0,68.0,2.7,44,2.53,48,2.26,53,50,0.0,25.741273100616016
Ryan Jimmo,73.0,205.0,73.0,3.12,66,2.77,46,0.45,28,87,0.0,44.77481177275838
Jinensibieke Asikeerbai,66.0,155.0,69.0,2.0,50,10.0,0,0.0,0,0,0.0,38.157426420260094
Sung Bin Jo,72.0,145.0,72.0,1.4,33,2.67,51,1.0,33,83,1.0,34.13826146475017
Gilbert Jimenez,70.0,155.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Carls John De Tomas,65.0,125.0,71.0,1.74,37,3.93,44,1.37,33,66,0.0,30.023271731690624
Brett Johns,67.0,135.0,71.0,2.86,49,3.84,53,4.92,49,58,1.0,34.54072553045859
Miles Johns,67.0,135.0,68.0,3.37,44,2.97,65,1.2,26,77,0.0,32.43805612594114
Anthony Johnson,74.0,205.0,78.0,3.25,47,1.83,60,2.43,57,77,0.6,42.502395619438744
DaMarques Johnson,73.0,170.0,75.0,2.11,37,3.75,51,1.18,55,19,0.7,44.19164955509925
Phil Johns,62.0,170.0,72.0,1.2,66,1.8,50,0.0,0,50,0.0,57.87268993839836
Ricky Johnson,68.0,145.0,72.0,1.83,25,6.3,36,0.0,0,0,0.0,39.59753593429158
Tony Johnson,74.0,205.0,76.0,4.0,92,3.67,22,0.0,0,90,0.0,43.34839151266256
Lavar Johnson,76.0,240.0,82.0,5.39,55,2.54,55,0.61,66,54,0.6,49.23750855578371
Deshaun Johnson,70.0,167.0,72.0,2.27,41,6.67,43,0.0,0,0,0.0,55.80835044490075
Demetrious Johnson,63.0,125.0,66.0,3.43,54,1.66,67,3.35,56,65,0.5,40.06570841889117
Devin Johnson,70.0,155.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Michael Johnson,70.0,155.0,73.0,4.27,39,3.78,58,0.57,38,81,0.0,40.257357973990416
Travis Johnson,70.0,205.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Kajan Johnson,71.0,155.0,75.0,2.47,42,1.59,64,1.54,37,62,0.2,42.37645448323067
Timothy Johnson,75.0,265.0,77.0,3.43,45,3.08,44,1.09,24,69,0.0,41.4839151266256
Dashon Johnson,67.0,145.0,72.0,1.01,69,3.83,35,0.85,33,63,0.8,38.614647501711154
Jordan Johnson,74.0,205.0,79.0,3.45,47,2.64,53,3.25,42,100,1.2,37.79876796714579
Taylor Johnson,72.0,185.0,74.0,5.09,60,1.13,33,8.49,100,100,0.0,35.82477754962355
Chad Johnson,74.0,230.0,80.0,5.92,68,7.8,40,0.0,0,0,0.0,40.12594113620808
Donte Johnson,68.0,185.0,74.0,3.11,48,2.0,61,2.0,100,75,0.7,27.613963039014372
Brian Johnston,75.0,230.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,58.10814510609172
Jose Johnson,72.0,125.0,71.0,2.27,57,1.61,53,0.69,60,41,0.7,31.299110198494184
Charles Johnson,69.0,125.0,70.0,4.54,49,3.88,55,0.47,16,66,0.4,35.65503080082136
Ben Johnston,76.0,185.0,76.0,1.01,75,1.01,29,2.54,100,100,0.0,35.90417522245038
Nikola Joksovic,70.0,170.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,31.98631074606434
Daniel Jolly,73.0,205.0,75.0,1.32,46,3.39,44,2.83,33,50,0.0,42.00684462696783
Paul Jones,69.0,199.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,63.22518822724162
Liana Jojua,64.0,125.0,62.0,2.42,30,5.32,54,1.71,66,50,1.3,31.460643394934976
Carlton Jones,73.0,225.0,72.0,2.32,41,3.58,56,4.02,50,57,2.7,39.59753593429158
